""	"celltype"	"sample"	"celltype_n"	"genotype"	"age"	"size_factor"	"celltype_n_norm"	"total_n_norm"
"1"	"Interneurons_1"	"WT.E115.1"	854	"WT"	"E115"	8076	1057	9999
"2"	"Interneurons_1"	"WT.E115.2"	433	"WT"	"E115"	3205	1351	10001
"3"	"Interneurons_1"	"WT.E185.1"	5149	"WT"	"E185"	16454	3129	10000
"4"	"Interneurons_1"	"WT.E185.2"	4905	"WT"	"E185"	15372	3191	10001
"5"	"Radial_Glia"	"WT.E115.1"	4239	"WT"	"E115"	8076	5249	9999
"6"	"Radial_Glia"	"WT.E115.2"	1703	"WT"	"E115"	3205	5314	10001
"7"	"Radial_Glia"	"WT.E185.1"	2073	"WT"	"E185"	16454	1260	10000
"8"	"Radial_Glia"	"WT.E185.2"	1990	"WT"	"E185"	15372	1295	10001
"9"	"Excitatory_Neurons"	"WT.E115.1"	1215	"WT"	"E115"	8076	1504	9999
"10"	"Excitatory_Neurons"	"WT.E115.2"	398	"WT"	"E115"	3205	1242	10001
"11"	"Excitatory_Neurons"	"WT.E185.1"	2751	"WT"	"E185"	16454	1672	10000
"12"	"Excitatory_Neurons"	"WT.E185.2"	2708	"WT"	"E185"	15372	1762	10001
"13"	"Interneurons_2"	"WT.E115.1"	442	"WT"	"E115"	8076	547	9999
"14"	"Interneurons_2"	"WT.E115.2"	175	"WT"	"E115"	3205	546	10001
"15"	"Interneurons_2"	"WT.E185.1"	3281	"WT"	"E185"	16454	1994	10000
"16"	"Interneurons_2"	"WT.E185.2"	2976	"WT"	"E185"	15372	1936	10001
"17"	"Dendritogenesis"	"WT.E115.1"	80	"WT"	"E115"	8076	99	9999
"18"	"Dendritogenesis"	"WT.E115.2"	35	"WT"	"E115"	3205	109	10001
"19"	"Dendritogenesis"	"WT.E185.1"	2299	"WT"	"E185"	16454	1397	10000
"20"	"Dendritogenesis"	"WT.E185.2"	1938	"WT"	"E185"	15372	1261	10001
"21"	"Meninges"	"WT.E115.1"	984	"WT"	"E115"	8076	1218	9999
"22"	"Meninges"	"WT.E115.2"	347	"WT"	"E115"	3205	1083	10001
"23"	"Meninges"	"WT.E185.1"	263	"WT"	"E185"	16454	160	10000
"24"	"Meninges"	"WT.E185.2"	233	"WT"	"E185"	15372	152	10001
"25"	"Oligodendrocytes"	"WT.E115.1"	22	"WT"	"E115"	8076	27	9999
"26"	"Oligodendrocytes"	"WT.E115.2"	14	"WT"	"E115"	3205	44	10001
"27"	"Oligodendrocytes"	"WT.E185.1"	352	"WT"	"E185"	16454	214	10000
"28"	"Oligodendrocytes"	"WT.E185.2"	331	"WT"	"E185"	15372	215	10001
"29"	"Endothelial"	"WT.E115.1"	78	"WT"	"E115"	8076	97	9999
"30"	"Endothelial"	"WT.E115.2"	28	"WT"	"E115"	3205	87	10001
"31"	"Endothelial"	"WT.E185.1"	154	"WT"	"E185"	16454	94	10000
"32"	"Endothelial"	"WT.E185.2"	178	"WT"	"E185"	15372	116	10001
"33"	"Erythroid_Lineage"	"WT.E115.1"	125	"WT"	"E115"	8076	155	9999
"34"	"Erythroid_Lineage"	"WT.E115.2"	57	"WT"	"E115"	3205	178	10001
"35"	"Erythroid_Lineage"	"WT.E185.1"	31	"WT"	"E185"	16454	19	10000
"36"	"Erythroid_Lineage"	"WT.E185.2"	14	"WT"	"E185"	15372	9	10001
"37"	"Macrophages_&_Microglia"	"WT.E115.1"	37	"WT"	"E115"	8076	46	9999
"38"	"Macrophages_&_Microglia"	"WT.E115.2"	15	"WT"	"E115"	3205	47	10001
"39"	"Macrophages_&_Microglia"	"WT.E185.1"	101	"WT"	"E185"	16454	61	10000
"40"	"Macrophages_&_Microglia"	"WT.E185.2"	99	"WT"	"E185"	15372	64	10001
"41"	"Interneurons_1"	"Dup.E115.1"	1805	"Dup"	"E115"	13978	1291	9999
"42"	"Interneurons_1"	"Dup.E115.2"	825	"Dup"	"E115"	4478	1842	10000
"43"	"Interneurons_1"	"Dup.E185.1"	4197	"Dup"	"E185"	13468	3116	10000
"44"	"Interneurons_1"	"Dup.E185.2"	4126	"Dup"	"E185"	13251	3114	9999
"45"	"Radial_Glia"	"Dup.E115.1"	6452	"Dup"	"E115"	13978	4616	9999
"46"	"Radial_Glia"	"Dup.E115.2"	2011	"Dup"	"E115"	4478	4491	10000
"47"	"Radial_Glia"	"Dup.E185.1"	1840	"Dup"	"E185"	13468	1366	10000
"48"	"Radial_Glia"	"Dup.E185.2"	1613	"Dup"	"E185"	13251	1217	9999
"49"	"Excitatory_Neurons"	"Dup.E115.1"	2220	"Dup"	"E115"	13978	1588	9999
"50"	"Excitatory_Neurons"	"Dup.E115.2"	569	"Dup"	"E115"	4478	1271	10000
"51"	"Excitatory_Neurons"	"Dup.E185.1"	1900	"Dup"	"E185"	13468	1411	10000
"52"	"Excitatory_Neurons"	"Dup.E185.2"	2241	"Dup"	"E185"	13251	1691	9999
"53"	"Interneurons_2"	"Dup.E115.1"	1429	"Dup"	"E115"	13978	1022	9999
"54"	"Interneurons_2"	"Dup.E115.2"	245	"Dup"	"E115"	4478	547	10000
"55"	"Interneurons_2"	"Dup.E185.1"	2697	"Dup"	"E185"	13468	2003	10000
"56"	"Interneurons_2"	"Dup.E185.2"	2665	"Dup"	"E185"	13251	2011	9999
"57"	"Dendritogenesis"	"Dup.E115.1"	147	"Dup"	"E115"	13978	105	9999
"58"	"Dendritogenesis"	"Dup.E115.2"	70	"Dup"	"E115"	4478	156	10000
"59"	"Dendritogenesis"	"Dup.E185.1"	2021	"Dup"	"E185"	13468	1501	10000
"60"	"Dendritogenesis"	"Dup.E185.2"	1875	"Dup"	"E185"	13251	1415	9999
"61"	"Meninges"	"Dup.E115.1"	1392	"Dup"	"E115"	13978	996	9999
"62"	"Meninges"	"Dup.E115.2"	522	"Dup"	"E115"	4478	1166	10000
"63"	"Meninges"	"Dup.E185.1"	241	"Dup"	"E185"	13468	179	10000
"64"	"Meninges"	"Dup.E185.2"	206	"Dup"	"E185"	13251	155	9999
"65"	"Oligodendrocytes"	"Dup.E115.1"	77	"Dup"	"E115"	13978	55	9999
"66"	"Oligodendrocytes"	"Dup.E115.2"	37	"Dup"	"E115"	4478	83	10000
"67"	"Oligodendrocytes"	"Dup.E185.1"	333	"Dup"	"E185"	13468	247	10000
"68"	"Oligodendrocytes"	"Dup.E185.2"	276	"Dup"	"E185"	13251	208	9999
"69"	"Endothelial"	"Dup.E115.1"	115	"Dup"	"E115"	13978	82	9999
"70"	"Endothelial"	"Dup.E115.2"	45	"Dup"	"E115"	4478	100	10000
"71"	"Endothelial"	"Dup.E185.1"	131	"Dup"	"E185"	13468	97	10000
"72"	"Endothelial"	"Dup.E185.2"	144	"Dup"	"E185"	13251	109	9999
"73"	"Erythroid_Lineage"	"Dup.E115.1"	280	"Dup"	"E115"	13978	200	9999
"74"	"Erythroid_Lineage"	"Dup.E115.2"	132	"Dup"	"E115"	4478	295	10000
"75"	"Erythroid_Lineage"	"Dup.E185.1"	14	"Dup"	"E185"	13468	10	10000
"76"	"Erythroid_Lineage"	"Dup.E185.2"	21	"Dup"	"E185"	13251	16	9999
"77"	"Macrophages_&_Microglia"	"Dup.E115.1"	61	"Dup"	"E115"	13978	44	9999
"78"	"Macrophages_&_Microglia"	"Dup.E115.2"	22	"Dup"	"E115"	4478	49	10000
"79"	"Macrophages_&_Microglia"	"Dup.E185.1"	94	"Dup"	"E185"	13468	70	10000
"80"	"Macrophages_&_Microglia"	"Dup.E185.2"	84	"Dup"	"E185"	13251	63	9999
"81"	"Interneurons_1"	"Del.E115.1"	517	"Del"	"E115"	8450	612	10001
"82"	"Interneurons_1"	"Del.E115.2"	690	"Del"	"E115"	4024	1715	10001
"83"	"Interneurons_1"	"Del.E185.1"	3536	"Del"	"E185"	11871	2979	10001
"84"	"Interneurons_1"	"Del.E185.2"	5272	"Del"	"E185"	15884	3319	10000
"85"	"Radial_Glia"	"Del.E115.1"	4548	"Del"	"E115"	8450	5382	10001
"86"	"Radial_Glia"	"Del.E115.2"	1892	"Del"	"E115"	4024	4702	10001
"87"	"Radial_Glia"	"Del.E185.1"	1436	"Del"	"E185"	11871	1210	10001
"88"	"Radial_Glia"	"Del.E185.2"	2030	"Del"	"E185"	15884	1278	10000
"89"	"Excitatory_Neurons"	"Del.E115.1"	1234	"Del"	"E115"	8450	1460	10001
"90"	"Excitatory_Neurons"	"Del.E115.2"	483	"Del"	"E115"	4024	1200	10001
"91"	"Excitatory_Neurons"	"Del.E185.1"	2143	"Del"	"E185"	11871	1805	10001
